date,minutesAwake,minutesAsleep,minutesToFallAsleep,timeInBed
2022-01-15,71,591,0,662
2022-01-14,63,357,0,420
2022-01-13,46,430,0,476
2022-01-12,74,622,0,696
2022-01-11,19,121,0,142
2022-01-11,51,375,0,426
2022-01-10,55,399,0,454
2022-01-09,65,409,0,474
2022-01-08,61,557,0,618
2022-01-07,73,481,0,554
2022-01-06,51,410,0,461
2022-01-05,50,413,0,463
2022-01-04,56,390,0,446
2022-01-03,55,456,0,511
2022-01-02,51,489,0,540
2022-01-01,28,302,0,330
2021-12-31,67,424,0,491
2021-12-30,66,359,0,425
